,x,y,avgE,stdE,avgFx,avgFy,stdFx,stdFy,loss,type,generation,E_1,E_2,E_3,E_4,E_5,Fx_1,Fx_2,Fx_3,Fx_4,Fx_5,Fy_1,Fy_2,Fy_3,Fy_4,Fy_5
427,-0.54983276,-1.103679,2.9134004,0.08903587,-7.311885,23.463547,0.5653974,0.44360045,0.08300925,contour,2,3.0557644,2.8538375,2.827558,2.8987362,2.9311104,-8.258972,-6.932935,-6.8889904,-7.0831804,-7.3953915,24.233559,23.30812,23.137054,23.214727,23.42426
428,-0.5257525,-1.103679,3.096262,0.10339328,-7.8654084,23.499146,0.65236783,0.49264902,0.103555545,contour,2,3.2632923,3.0262809,3.0007596,3.0749674,3.115992,-8.967221,-7.3781986,-7.4906483,-7.543307,-7.9476986,24.362545,23.271004,23.202042,23.212067,23.44801
429,-0.50167227,-1.103679,3.2917385,0.11961368,-8.360748,23.533808,0.74434495,0.55047005,0.12771626,contour,2,3.4871836,3.2086535,3.188044,3.2615356,3.3132668,-9.619167,-7.7586527,-8.058788,-7.942649,-8.424521,24.500689,23.22405,23.271332,23.205162,23.467793
430,-0.47759196,-1.103679,3.4984794,0.13778406,-8.8012085,23.56665,0.8433969,0.61667657,0.15607779,contour,2,3.726152,3.3994505,3.388626,3.4570463,3.5211105,-10.220572,-8.078119,-8.595366,-8.286553,-8.825476,24.646084,23.166739,23.344526,23.192818,23.48308
431,-0.45351171,-1.103679,3.7151895,0.15805472,-9.189922,23.596718,0.9513828,0.6908663,0.1892748,contour,2,3.9790473,3.597246,3.6017559,3.6602182,3.7376957,-10.776781,-8.340769,-9.1017275,-8.580006,-9.150378,24.796919,23.098413,23.421158,23.173752,23.493345
432,-0.42943144,-1.103679,3.940675,0.18063764,-9.529791,23.623066,1.0697541,0.77269715,0.22791499,contour,2,4.244839,3.800724,3.8267303,3.869895,3.961187,-11.292406,-8.550966,-9.578776,-8.827551,-9.399303,24.951595,23.018358,23.500729,23.146648,23.497993
433,-0.40535116,-1.103679,4.1737833,0.2057761,-9.823458,23.64481,1.1995257,0.8619381,0.2725417,contour,2,4.522601,4.008678,4.0628476,4.085023,4.189761,-11.771227,-8.713153,-10.027093,-9.033239,-9.572601,25.108757,22.925838,23.582767,23.110188,23.496485
434,-0.38127092,-1.103679,4.413428,0.23375939,-10.073314,23.661123,1.3413353,0.95847493,0.3236153,contour,2,4.8114777,4.220005,4.3094187,4.3046327,4.421607,-12.2162075,-8.831733,-10.447107,-9.200627,-9.670945,25.267315,22.820126,23.66685,23.063044,23.488272
435,-0.35719064,-1.103679,4.658585,0.26490355,-10.281606,23.671293,1.4955704,1.0623252,0.38152948,contour,2,5.1106877,4.4337025,4.565763,4.527848,4.6549253,-12.629674,-8.910976,-10.839252,-9.332797,-9.69537,25.426424,22.700571,23.752668,23.00394,23.47285
436,-0.33311036,-1.103679,4.9082804,0.29951352,-10.450454,23.674707,1.6624855,1.1735322,0.4466111,contour,2,5.4194903,4.648881,4.8312225,4.7538433,4.887964,-13.013536,-8.954987,-11.204129,-9.432387,-9.647271,25.585396,22.5666,23.8401,22.931648,23.449772
437,-0.3090301,-1.103679,5.1615868,0.33791867,-10.581976,23.670868,1.8423147,1.2922035,0.5191643,contour,2,5.7372003,4.8647304,5.1051493,4.9818764,5.1189747,-13.369538,-8.967651,-11.542639,-9.501642,-9.528444,25.743664,22.417782,23.92922,22.845013,23.418625
438,-0.28494984,-1.103679,5.417631,0.3804504,-10.67834,23.65939,2.035359,1.4184341,0.5994895,contour,2,6.0631666,5.080544,5.3869205,5.211222,5.346303,-13.699461,-8.952664,-11.856088,-9.542465,-9.341053,25.900698,22.253803,24.020372,22.742943,23.379099
439,-0.26086956,-1.103679,5.6755943,0.42745328,-10.741802,23.640005,2.2420015,1.5523448,0.6879106,contour,2,6.396779,5.2956996,5.675954,5.4412284,5.5683174,-14.005254,-8.913517,-12.146173,-9.55647,-9.087639,26.055956,22.074547,24.114105,22.624462,23.33093
440,-0.2367893,-1.103679,5.9347177,0.47926483,-10.774711,23.612549,2.4626403,1.6939965,0.7847332,contour,2,6.7374907,5.509657,5.971713,5.6712646,5.783461,-14.2890625,-8.853548,-12.414883,-9.545034,-8.771062,26.208889,21.880066,24.211151,22.488693,23.273949
441,-0.21270902,-1.103679,6.1942863,0.53623617,-10.779448,23.576956,2.6976376,1.8434209,0.89023685,contour,2,7.084788,5.7219534,6.273705,5.900728,5.9902544,-14.55318,-8.775944,-12.664308,-9.509357,-8.394485,26.358898,21.670631,24.312317,22.334877,23.208055
442,-0.18862876,-1.103679,6.4536567,0.59874153,-10.758382,23.533234,2.9471762,2.000625,1.0046062,contour,2,7.43824,5.9321947,6.5814934,6.1290526,6.1872935,-14.799961,-8.683789,-12.896371,-9.450493,-7.961324,26.505413,21.44673,24.418365,22.162388,23.133255
443,-0.1645485,-1.103679,6.7122283,0.6671531,-10.713793,23.481447,3.211204,2.1655087,1.1278708,contour,2,7.797447,6.140074,6.894676,6.3556914,6.373254,-15.031724,-8.580082,-13.112584,-9.369412,-7.4751935,26.647844,21.209074,24.52993,21.970743,23.049631
444,-0.14046822,-1.103679,6.969466,0.7418287,-10.647817,23.421719,3.4893353,2.3379145,1.2598503,contour,2,8.162071,6.345346,7.2128844,6.580118,6.5469065,-15.250652,-8.467734,-13.313835,-9.267024,-6.9398775,26.785639,20.958597,24.647402,21.75961,22.957355
445,-0.11638796,-1.103679,7.224879,0.8231398,-10.562404,23.354242,3.7808483,2.517611,1.4001337,contour,2,8.531838,6.54784,7.5357614,6.8018317,6.707117,-15.458738,-8.349549,-13.500252,-9.144227,-6.359282,26.91833,20.69643,24.770931,21.528824,22.856691
446,-0.092307694,-1.103679,7.478011,0.91142255,-10.459279,23.279226,4.084659,2.7042348,1.5480303,contour,2,8.906502,6.747442,7.8629384,7.020353,6.8528423,-15.657744,-8.228193,-13.67115,-9.001921,-5.7374134,27.045479,20.423862,24.900402,21.278385,22.747997
447,-0.068227425,-1.103679,7.728471,1.0070093,-10.339939,23.196934,4.3993874,2.8973804,1.7026128,contour,2,9.285862,6.94411,8.19403,7.235217,6.9831347,-15.849181,-8.106098,-13.825021,-8.841051,-5.0783653,27.166729,20.142296,25.035463,21.008465,22.631699
448,-0.044147156,-1.103679,7.9758697,1.1101718,-10.205617,23.10766,4.7233596,3.0965395,1.8627124,contour,2,9.669757,7.137846,8.528609,7.446,7.0971537,-16.034334,-7.9853563,-13.959524,-8.662609,-4.3862906,27.28181,19.853186,25.175583,20.71943,22.508308
